#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Account= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Account= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Credit= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
21:28:43.858 -  INFO | ms-Credit= [ID:         ] [                 main] | com.everis.credit.CreditApplication           :  Starting CreditApplication using Java 1.8.0_291 on LIM-5RNY0Z2 with PID 16192 (C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\credit\target\classes started by jmagalmo in C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\credit)
21:28:43.861 -  INFO | ms-Credit= [ID:         ] [                 main] | com.everis.credit.CreditApplication           :  No active profile set, falling back to default profiles: default
21:28:43.897 -  INFO | ms-Credit= [ID:         ] [                 main] | o.s.boot.context.config.ConfigDataLoader      :  Fetching config from server at : http://localhost:8888
21:28:43.897 -  INFO | ms-Credit= [ID:         ] [                 main] | o.s.boot.context.config.ConfigDataLoader      :  Located environment: name=credit, profiles=[default], label=null, version=null, state=null
21:28:44.632 -  INFO | ms-Credit= [ID:         ] [                 main] | o.s.d.r.c.RepositoryConfigurationDelegate     :  Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
21:28:44.641 -  INFO | ms-Credit= [ID:         ] [                 main] | o.s.d.r.c.RepositoryConfigurationDelegate     :  Finished Spring Data repository scanning in 5 ms. Found 0 Reactive MongoDB repository interfaces.
21:28:44.812 -  INFO | ms-Credit= [ID:         ] [                 main] | o.s.cloud.context.scope.GenericScope          :  BeanFactory id=b49d6cf8-5422-3e91-b541-e6b1c72517d8
21:28:45.111 -  INFO | ms-Credit= [ID:         ] [                 main] | o.s.boot.web.embedded.tomcat.TomcatWebServer  :  Tomcat initialized with port(s): 9093 (http)
21:28:45.177 -  INFO | ms-Credit= [ID:         ] [                 main] | org.apache.coyote.http11.Http11NioProtocol    :  Initializing ProtocolHandler ["http-nio-9093"]
21:28:45.177 -  INFO | ms-Credit= [ID:         ] [                 main] | org.apache.catalina.core.StandardService      :  Starting service [Tomcat]
21:28:45.177 -  INFO | ms-Credit= [ID:         ] [                 main] | org.apache.catalina.core.StandardEngine       :  Starting Servlet engine: [Apache Tomcat/9.0.46]
21:28:45.282 -  INFO | ms-Credit= [ID:         ] [                 main] | o.a.c.c.C.[Tomcat].[localhost].[/credit]      :  Initializing Spring embedded WebApplicationContext
21:28:45.282 -  INFO | ms-Credit= [ID:         ] [                 main] | .s.b.w.s.c.ServletWebServerApplicationContext :  Root WebApplicationContext: initialization completed in 1384 ms
21:28:46.036 -  INFO | ms-Credit= [ID:         ] [                 main] | org.mongodb.driver.cluster                    :  Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
21:28:47.293 -  INFO | ms-Credit= [ID:         ] [ull'}-localhost:27017] | org.mongodb.driver.connection                 :  Opened connection [connectionId{localValue:2, serverValue:235}] to localhost:27017
21:28:47.293 -  INFO | ms-Credit= [ID:         ] [ull'}-localhost:27017] | org.mongodb.driver.connection                 :  Opened connection [connectionId{localValue:1, serverValue:236}] to localhost:27017
21:28:47.293 -  INFO | ms-Credit= [ID:         ] [ull'}-localhost:27017] | org.mongodb.driver.cluster                    :  Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=56314100}
21:28:47.490 -  INFO | ms-Credit= [ID:         ] [nnection(3)-127.0.0.1] | o.a.c.c.C.[Tomcat].[localhost].[/credit]      :  Initializing Spring DispatcherServlet 'dispatcherServlet'
21:28:47.491 -  INFO | ms-Credit= [ID:         ] [nnection(3)-127.0.0.1] | o.s.web.servlet.DispatcherServlet             :  Initializing Servlet 'dispatcherServlet'
21:28:47.993 -  INFO | ms-Credit= [ID:         ] [nnection(3)-127.0.0.1] | o.s.b.a.endpoint.web.EndpointLinksResolver    :  Exposing 3 endpoint(s) beneath base path '/actuator'
21:28:48.001 -  INFO | ms-Credit= [ID:         ] [nnection(3)-127.0.0.1] | o.s.web.servlet.DispatcherServlet             :  Completed initialization in 510 ms
21:28:48.089 -  INFO | ms-Credit= [ID:         ] [                 main] | org.apache.coyote.http11.Http11NioProtocol    :  Starting ProtocolHandler ["http-nio-9093"]
21:28:48.101 -  INFO | ms-Credit= [ID:         ] [                 main] | o.s.boot.web.embedded.tomcat.TomcatWebServer  :  Tomcat started on port(s): 9093 (http) with context path '/credit'
21:28:49.544 -  INFO | ms-Credit= [ID:         ] [                 main] | com.everis.credit.CreditApplication           :  Started CreditApplication in 7.19 seconds (JVM running for 8.442)
#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Transac= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Transac= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
21:28:55.955 -  INFO | ms-Transac= [ID:         ] [                 main] | com.everis.transaction.TransactionApplication :  Starting TransactionApplication using Java 1.8.0_291 on LIM-5RNY0Z2 with PID 15316 (C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\transaction\target\classes started by jmagalmo in C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\transaction)
21:28:55.958 -  INFO | ms-Transac= [ID:         ] [                 main] | com.everis.transaction.TransactionApplication :  No active profile set, falling back to default profiles: default
21:28:55.999 -  INFO | ms-Transac= [ID:         ] [                 main] | o.s.boot.context.config.ConfigDataLoader      :  Fetching config from server at : http://localhost:8888
21:28:55.999 -  INFO | ms-Transac= [ID:         ] [                 main] | o.s.boot.context.config.ConfigDataLoader      :  Located environment: name=transaction, profiles=[default], label=null, version=null, state=null
21:28:56.712 -  INFO | ms-Transac= [ID:         ] [                 main] | o.s.d.r.c.RepositoryConfigurationDelegate     :  Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
21:28:56.726 -  INFO | ms-Transac= [ID:         ] [                 main] | o.s.d.r.c.RepositoryConfigurationDelegate     :  Finished Spring Data repository scanning in 9 ms. Found 0 Reactive MongoDB repository interfaces.
21:28:57.194 -  INFO | ms-Transac= [ID:         ] [                 main] | o.s.cloud.context.scope.GenericScope          :  BeanFactory id=61763166-8475-37b1-bd8a-193f4176b60c
21:28:57.631 -  INFO | ms-Transac= [ID:         ] [                 main] | o.s.boot.web.embedded.tomcat.TomcatWebServer  :  Tomcat initialized with port(s): 9094 (http)
21:28:57.694 -  INFO | ms-Transac= [ID:         ] [                 main] | org.apache.coyote.http11.Http11NioProtocol    :  Initializing ProtocolHandler ["http-nio-9094"]
21:28:57.695 -  INFO | ms-Transac= [ID:         ] [                 main] | org.apache.catalina.core.StandardService      :  Starting service [Tomcat]
21:28:57.695 -  INFO | ms-Transac= [ID:         ] [                 main] | org.apache.catalina.core.StandardEngine       :  Starting Servlet engine: [Apache Tomcat/9.0.46]
21:28:57.800 -  INFO | ms-Transac= [ID:         ] [                 main] | o.a.c.c.C.[Tomcat].[localhost].[/transaction] :  Initializing Spring embedded WebApplicationContext
21:28:57.801 -  INFO | ms-Transac= [ID:         ] [                 main] | .s.b.w.s.c.ServletWebServerApplicationContext :  Root WebApplicationContext: initialization completed in 1801 ms
21:28:58.596 -  INFO | ms-Transac= [ID:         ] [                 main] | org.mongodb.driver.cluster                    :  Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
21:28:59.865 -  INFO | ms-Transac= [ID:         ] [ull'}-localhost:27017] | org.mongodb.driver.connection                 :  Opened connection [connectionId{localValue:1, serverValue:238}] to localhost:27017
21:28:59.865 -  INFO | ms-Transac= [ID:         ] [ull'}-localhost:27017] | org.mongodb.driver.connection                 :  Opened connection [connectionId{localValue:2, serverValue:237}] to localhost:27017
21:28:59.865 -  INFO | ms-Transac= [ID:         ] [ull'}-localhost:27017] | org.mongodb.driver.cluster                    :  Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=62796500}
21:29:00.572 -  INFO | ms-Transac= [ID:         ] [nnection(3)-127.0.0.1] | o.a.c.c.C.[Tomcat].[localhost].[/transaction] :  Initializing Spring DispatcherServlet 'dispatcherServlet'
21:29:00.573 -  INFO | ms-Transac= [ID:         ] [nnection(3)-127.0.0.1] | o.s.web.servlet.DispatcherServlet             :  Initializing Servlet 'dispatcherServlet'
21:29:00.593 -  INFO | ms-Transac= [ID:         ] [nnection(3)-127.0.0.1] | o.s.b.a.endpoint.web.EndpointLinksResolver    :  Exposing 3 endpoint(s) beneath base path '/actuator'
21:29:00.614 -  INFO | ms-Transac= [ID:         ] [nnection(3)-127.0.0.1] | o.s.web.servlet.DispatcherServlet             :  Completed initialization in 41 ms
21:29:00.661 -  INFO | ms-Transac= [ID:         ] [                 main] | org.apache.coyote.http11.Http11NioProtocol    :  Starting ProtocolHandler ["http-nio-9094"]
21:29:00.681 -  INFO | ms-Transac= [ID:         ] [                 main] | o.s.boot.web.embedded.tomcat.TomcatWebServer  :  Tomcat started on port(s): 9094 (http) with context path '/transaction'
21:29:02.109 -  INFO | ms-Transac= [ID:         ] [                 main] | com.everis.transaction.TransactionApplication :  Started TransactionApplication in 7.695 seconds (JVM running for 8.895)
21:39:25.134 -  INFO | ms-Account= [ID:         ] [nioEventLoopGroup-2-3] | org.mongodb.driver.connection                 :  Opened connection [connectionId{localValue:3, serverValue:239}] to localhost:27017
21:39:33.480 -  INFO | ms-Account= [ID:         ] [nioEventLoopGroup-2-3] | com.everis.account.business.AccountBusiness   :  Deleting account number: CDF-SLSLSL
21:46:57.644 -  INFO | ms-Account= [ID:         ] [nection(28)-127.0.0.1] | onAdminMXBeanRegistrar$SpringApplicationAdmin :  Application shutdown requested.
21:46:58.210 -  INFO | ms-Account= [ID:         ] [nection(28)-127.0.0.1] | org.mongodb.driver.connection                 :  Closed connection [connectionId{localValue:3, serverValue:239}] to localhost:27017 because the pool has been closed.
#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Account= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
#logback.classic pattern: %d{HH:mm:ss.SSS} - %5p | ms-Account= [%12(ID: %8mdc{id})] [%21.21thread] | %-45.45logger{45} :  %msg%n
21:47:16.475 -  INFO | ms-Account= [ID:         ] [                 main] | com.everis.account.AccountApplication         :  Starting AccountApplication using Java 1.8.0_291 on LIM-5RNY0Z2 with PID 23356 (C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\account\target\classes started by jmagalmo in C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\account)
21:47:16.478 - DEBUG | ms-Account= [ID:         ] [                 main] | com.everis.account.AccountApplication         :  Running with Spring Boot v2.5.1, Spring v5.3.8
21:47:16.478 -  INFO | ms-Account= [ID:         ] [                 main] | com.everis.account.AccountApplication         :  No active profile set, falling back to default profiles: default
21:47:16.479 - DEBUG | ms-Account= [ID:         ] [                 main] | org.springframework.boot.SpringApplication    :  Loading source class com.everis.account.AccountApplication
21:47:16.531 -  INFO | ms-Account= [ID:         ] [                 main] | o.s.boot.context.config.ConfigDataLoader      :  Fetching config from server at : http://localhost:8888
21:47:16.531 -  INFO | ms-Account= [ID:         ] [                 main] | o.s.boot.context.config.ConfigDataLoader      :  Located environment: name=account, profiles=[default], label=null, version=null, state=null
21:47:16.531 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.boot.context.config.ConfigDataLoader      :  Environment account has 1 property sources with 7 properties.
21:47:16.533 - DEBUG | ms-Account= [ID:         ] [                 main] | ationConfigServletWebServerApplicationContext :  Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@18cebaa5
21:47:16.561 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.b.f.support.DefaultListableBeanFactory    :  Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
21:47:16.576 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.b.f.support.DefaultListableBeanFactory    :  Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
21:47:16.642 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.c.a.ClassPathBeanDefinitionScanner        :  Identified candidate component class: file [C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\account\target\classes\com\everis\account\business\AccountBusiness.class]
21:47:16.659 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.c.a.ClassPathBeanDefinitionScanner        :  Identified candidate component class: file [C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\account\target\classes\com\everis\account\controller\AccountController.class]
21:47:16.666 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.c.a.ClassPathBeanDefinitionScanner        :  Ignored because not a concrete top-level class: file [C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\account\target\classes\com\everis\account\repository\AccountCrudRepository.class]
21:47:17.441 -  INFO | ms-Account= [ID:         ] [                 main] | o.s.d.r.c.RepositoryConfigurationDelegate     :  Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
21:47:17.445 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.b.f.support.DefaultListableBeanFactory    :  Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
21:47:17.446 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.b.autoconfigure.AutoConfigurationPackages :  @EnableAutoConfiguration was declared on a class in the package 'com.everis.account'. Automatic @Repository and @Entity scanning is enabled.
21:47:17.448 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.d.r.c.RepositoryConfigurationDelegate     :  Scanning for Reactive MongoDB repositories in packages com.everis.account.
21:47:17.461 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.d.r.config.RepositoryComponentProvider    :  Identified candidate component class: file [C:\Users\jmagalmo\Documents\proyectos\bootCamp-microservice\account\target\classes\com\everis\account\repository\AccountCrudRepository.class]
21:47:17.646 -  INFO | ms-Account= [ID:         ] [                 main] | o.s.d.r.c.RepositoryConfigurationDelegate     :  Finished Spring Data repository scanning in 196 ms. Found 1 Reactive MongoDB repository interfaces.
21:47:17.778 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.b.f.support.DefaultListableBeanFactory    :  Creating shared instance of singleton bean 'refreshScope'
21:47:17.782 - DEBUG | ms-Account= [ID:         ] [                 main] | o.s.b.f.support.DefaultListableBeanFactory    :  Creating shared instance of singleton bean 'org.springframework.cloud.autoconfigure.RefreshAutoConfiguration$RefreshScopeBeanDefinitionEnhancer'
